count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,intervals_in_count,total_vehicle_day,total_pedestrian_day,total_bike_day,avg_vehicle_per_15min,peak_hour_start,peak_hour_vehicle,north_vehicle_day,east_vehicle_day,south_vehicle_day,west_vehicle_day,left_turn_vehicle_day,through_vehicle_day,right_turn_vehicle_day
111099,2024-10-20,Kingston Rd / Birchcliff Ave,43.691479544549,-79.2647519888062,4_leg,"N,E,S,W",,1,1,1,1,56,11871,1454,307,211.982,2024-10-20 15:00,1177,183,6225,128,5335,245,11292,334
111100,2024-10-20,Kingston Rd / Scarborough Rd,43.6805397969014,-79.2870876321805,4_leg,"N,E,S,W",,1,1,1,1,56,13658,5250,465,243.893,2024-10-20 15:00,1277,906,6157,532,6063,653,12174,831
111101,2024-10-20,Kingston Rd / Warden Ave,43.6877590148713,-79.2709181277066,4_leg,"N,E,S,W",,1,1,1,1,56,13951,1284,524,249.125,2024-10-20 15:00,1382,1534,6076,604,5737,1505,11052,1394
111104,2024-10-20,Kingston Rd / Queensbury Ave,43.6854012333096,-79.2743900054263,3_leg,"N,E,W",S,1,1,0,1,56,12733,923,496,227.375,2024-10-20 15:00,1258,237,6614,0,5882,194,12300,239
111102,2024-10-20,Kingston Rd / Victoria Park Ave,43.6808114397811,-79.2840604480069,4_leg,"N,E,S,W",,1,1,1,1,56,16610,3975,465,296.607,2024-10-20 15:00,1548,2913,6131,1766,5800,2262,12220,2128
111103,2024-10-20,Kingston Rd / Southwood Dr / Main St,43.6788949542251,-79.2979958040382,4_leg,"N,E,S,W",,1,1,1,1,56,18930,4185,577,338.036,2024-10-20 13:00,1812,3762,6788,1931,6449,2598,13259,3073
111105,2024-10-20,Kingston Rd / Elmer Ave,43.6757009905969,-79.3059033749733,3_leg,"E,S,W",N,0,1,1,1,56,14009,800,320,250.161,2024-10-20 13:00,1307,0,7104,311,6594,327,13325,357
111106,2024-10-20,Kingston Rd / Woodbine Ave,43.6739285106355,-79.3079266207546,4_leg,"N,E,S,W",,1,1,1,1,56,21067,1737,670,376.196,2024-10-20 17:00,1923,4798,6980,4025,5264,3147,13451,4469
111107,2024-10-20,Kingston Rd / Dundas St E / Dixon Ave,43.6699741706634,-79.3111821687613,4_leg,"N,E,S,W",,1,1,1,1,56,13431,1588,644,239.839,2024-10-20 13:00,1282,7369,390,2765,2907,3031,6194,4206
111108,2024-10-20,Kingston Rd / Queen St E / Eastern Ave,43.6672446525683,-79.3125935636311,4_leg,"N,E,S,W",,1,1,1,1,56,13431,5382,650,239.839,2024-10-20 15:00,1308,3527,3753,3028,3123,2110,8254,3067
111109,2024-10-20,Kingston Rd / Fallingbrook Rd,43.6822574406743,-79.2792416156221,4_leg,"N,E,S,W",,1,1,1,1,56,13808,1071,427,246.571,2024-10-20 15:00,1355,722,6555,1280,5251,1241,11159,1408
111110,2024-10-20,Kingston Rd / Brookside Dr,43.6769410033088,-79.3040883492625,4_leg,"N,E,S,W",,1,1,1,1,56,15152,1578,384,270.571,2024-10-20 13:00,1422,776,7141,849,6386,1022,12922,1208
111111,2024-10-20,Kingston Rd / Glen Manor Dr,43.6797174252402,-79.2945229502895,3_leg,"E,S,W",N,0,1,1,1,56,14048,1587,361,250.857,2024-10-20 13:00,1380,0,7126,534,6388,407,13057,584
111112,2024-10-20,Kingston Rd / Beech Ave,43.6802501799741,-79.2906945040412,3_leg,"E,S,W",N,0,1,1,1,56,14242,4349,446,254.321,2024-10-20 13:00,1374,0,5901,1978,6363,1319,12025,898
111164,2024-10-16,Danforth Ave / Jackman Ave,43.6772868665907,-79.3532967635981,3_leg,"N,E,W",S,1,1,0,1,56,12854,6973,2630,229.536,2024-10-16 18:00,1054,840,6444,0,5570,537,11486,831
111251,2024-10-16,Eastside Dr / North Queen St,43.61976457819,-79.5524738829543,3_leg,"N,E,W",S,1,1,0,1,56,21179,230,56,378.196,2024-10-16 12:00,1973,555,9661,0,10963,685,20014,480
111252,2024-10-16,Bay St / Breadalbane St,43.6633645728977,-79.3867595004802,3_leg,"N,E,S",W,1,1,1,0,56,16862,8921,2624,301.107,2024-10-16 18:00,1458,8025,1193,7644,0,903,14870,1089
111286,2024-10-16,York Mills Rd / Upjohn Rd,43.7549600100985,-79.3508833617527,4_leg,"N,E,S,W",,1,1,1,1,56,33666,1146,50,601.179,2024-10-16 08:00,3034,39,15967,2785,14875,2397,27778,3491
111254,2024-10-16,Yonge St / Maitland St / Breadalbane St,43.6639085005191,-79.3841402226623,4_leg,"N,E,S,W",,1,1,1,1,56,12053,16208,2764,215.232,2024-10-16 18:00,1072,4681,2224,4399,749,1382,9614,1057
111292,2024-10-16,McCowan Rd / Milner Ave / Channel Nine Crt,43.7853815369203,-79.2564756878401,4_leg,"N,E,S,W",,1,1,1,1,56,50537,1130,71,902.446,2024-10-16 15:00,4126,21255,6566,21850,866,6872,35722,7943
111293,2024-10-16,McCowan Rd / Pitfield Rd / Invergordon Ave,43.7873925497484,-79.2572817968949,4_leg,"N,E,S,W",,1,1,1,1,56,42731,1071,67,763.054,2024-10-16 15:00,3542,18239,2125,18816,3551,3269,35384,4078
111294,2024-10-16,McCowan Rd / Sheppard Ave E,43.7896201621637,-79.2588387538113,4_leg,"N,E,S,W",,1,1,1,1,56,50458,3944,96,901.036,2024-10-16 15:00,4030,16567,8092,17518,8281,6930,37175,6353
111295,2024-10-16,McCowan Rd / Nugget Ave,43.7920614781431,-79.2598137806547,4_leg,"N,E,S,W",,1,1,1,1,56,37157,399,45,663.518,2024-10-16 08:00,3103,15946,5770,15227,214,5129,27206,4822
111296,2024-10-16,McCowan Rd / Middlefield Rd / Huntingwood Dr,43.7986739003054,-79.2625727433791,4_leg,"N,E,S,W",,1,1,1,1,56,37209,420,88,664.446,2024-10-16 16:00,3225,11329,6128,14300,5452,5954,24517,6738
111297,2024-10-16,McCowan Rd / Sandhurst Crcl (South),43.8051334419412,-79.2653300141757,4_leg,"N,E,S,W",,1,1,1,1,56,22315,758,75,398.482,2024-10-16 08:00,1939,9756,1629,9687,1243,1874,18402,2039
108021,2023-11-15,Overlea Blvd: Charles H Hiscott Bdge - Don Mills Rd,43.709777213185184,-79.33521557362964,4_leg,"N,E,S,W",,1,1,1,1,56,24676,1863,171,440.643,2023-11-15 17:00,2208,91,11250,295,13040,310,23956,410
108014,2023-11-14,Niagara St / Tecumseth St,43.6413894845477,-79.4044387264698,4_leg,"N,E,S,W",,1,1,1,1,56,2970,1549,173,53.036,2023-11-14 08:00,358,21,9,139,2801,196,2540,234
108022,2023-11-02,Kennedy Rd / Mike Myers Dr,43.7472166461985,-79.2741415125136,3_leg,"N,E,S",W,1,1,1,0,56,22040,141,34,393.571,2023-11-02 18:00,1963,10948,685,10407,0,654,20711,675
108025,2023-11-01,Paget Rd / Waringstown Dr,43.760239524399,-79.314988229613,4_leg,"N,E,S,W",,1,1,1,1,56,1282,215,15,22.893,2023-11-01 16:00,177,215,234,238,595,218,796,268
108028,2023-11-14,Tecumseth St / Wellington St W,43.6421125652478,-79.4047410682564,4_leg,"N,E,S,W",,1,1,1,1,56,4004,2570,1136,71.5,2023-11-14 18:00,422,75,3694,226,9,95,3288,621
108030,2023-10-25,Simcoe St / Lower Simcoe St / Front St W,43.6447613799235,-79.3850157868632,4_leg,"N,E,S,W",,1,1,1,1,56,16003,43859,2200,285.768,2023-10-25 14:00,1480,5803,4480,17,5703,2947,10371,2685
108032,2023-11-14,King St W / Niagara St,43.6429096218973,-79.4077186775655,4_leg,"N,E,S,W",,1,1,1,1,56,10600,6770,1326,189.286,2023-11-14 18:00,984,1629,3486,1278,4207,774,8192,1634
108033,2023-11-14,King St W / Tecumseth St,43.6434080623668,-79.4052628636579,4_leg,"N,E,S,W",,1,1,1,1,56,8197,8742,1598,146.375,2023-11-14 18:00,739,331,3173,951,3742,665,6559,973
108037,2023-11-14,Niagara St / Adelaide St W,43.6440838509544,-79.4087730302126,4_leg,"N,E,S,W",,1,1,1,1,56,3867,3261,1139,69.054,2023-11-14 18:00,388,1443,8,1359,1057,585,2834,448
108038,2023-11-14,Tecumseth St / Adelaide St W,43.6446764209133,-79.4057776584858,4_leg,"N,E,S,W",,1,1,1,1,56,1003,3689,1348,17.911,2023-11-14 17:00,125,39,22,360,582,157,522,324
108039,2023-11-15,Bathurst St / Adelaide St W (South),43.6448904361813,-79.4031055655182,3_leg,"N,S,W",E,1,0,1,1,56,16861,4737,1652,301.089,2023-11-15 18:00,1541,6772,0,9457,632,70,16228,563
108040,2023-11-14,Mitchell Ave / Tecumseth St,43.6453120132822,-79.4060470482584,3_leg,"N,S,W",E,1,0,1,1,56,978,1706,557,17.464,2023-11-14 16:00,107,568,0,408,2,375,77,526
108043,2023-11-14,Queen St W / Niagara St,43.6459998410963,-79.4099355943768,3_leg,"E,S,W",N,0,1,1,1,56,14684,9119,1906,262.214,2023-11-14 17:00,1324,0,6591,1535,6558,1169,11401,2114
108042,2023-11-14,Tecumseth St / Richmond St W,43.6459603507902,-79.4063053421907,4_leg,"N,E,S,W",,1,1,1,1,56,1776,1948,1883,31.714,2023-11-14 12:00,170,893,64,20,799,614,1036,126
108050,2023-11-14,Palmerston Ave / Robinson St,43.6483217936537,-79.4070742725773,4_leg,"N,E,S,W",,1,1,1,1,56,3220,1756,966,57.5,2023-11-14 16:00,347,64,1971,37,1148,566,1785,869
108045,2023-11-14,Queen St W / Palmerston Ave / Tecumseth St,43.6466829318926,-79.4065758480014,4_leg,"N,E,S,W",,1,1,1,1,56,11770,9254,2051,210.179,2023-11-14 17:00,1096,578,6032,312,4848,696,10366,708
108058,2023-11-14,Dundas St W / Manning Ave,43.651308959404,-79.4109198466767,3_leg,"N,E,W",S,1,1,0,1,56,12715,5511,2032,227.054,2023-11-14 17:00,1177,1593,5955,0,5167,436,11085,1194
108059,2023-10-25,Bloor St W / Perth Ave,43.6570789619169,-79.4487963466108,4_leg,"N,E,S,W",,1,1,1,1,56,17050,2958,1690,304.464,2023-10-25 17:00,1424,1357,7775,249,7669,3,14727,2320
108070,2023-11-14,Euclid Ave / Ulster St,43.65906945739,-79.4127395714965,4_leg,"N,E,S,W",,1,1,1,1,56,3187,1461,426,56.911,2023-11-14 08:00,405,2,282,2504,399,260,2138,789
108071,2023-11-14,Palmerston Blvd / Ulster St,43.6593127613285,-79.4115068814654,4_leg,"N,E,S,W",,1,1,1,1,57,1642,1663,1101,28.807,2023-11-14 08:00,281,26,646,26,944,203,985,454
108064,2023-11-14,Dundas St W / Palmerston Ave,43.6517995277572,-79.4084741173994,4_leg,"N,E,S,W",,1,1,1,1,56,11617,5358,2471,207.446,2023-11-14 16:00,1086,49,6042,836,4690,553,10562,502
108065,2023-11-14,Dundas St W / Markham St,43.6520529423428,-79.4072448657126,4_leg,"N,E,S,W",,1,1,1,1,56,11302,4165,1659,201.821,2023-11-14 17:00,1038,1296,5505,5,4496,409,9880,1013
108075,2023-11-14,Bathurst St / Ulster St,43.6598145696506,-79.4090541694424,4_leg,"N,E,S,W",,1,1,1,1,56,15904,3422,778,284.0,2023-11-14 08:00,1435,7212,621,7307,764,850,14115,939
108076,2023-11-14,Euclid Ave / Harbord St,43.6607608326609,-79.4134201406889,4_leg,"N,E,S,W",,1,1,1,1,56,11717,2384,2110,209.232,2023-11-14 17:00,1170,1,4701,1900,5115,743,9855,1119
