count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,total_vehicle_day_raw_derived,total_pedestrian_day_raw_derived,total_bike_day_raw_derived,summary_total_vehicle,summary_total_pedestrian,summary_total_bike,summary_count_duration_hr,summary_am_peak_start,summary_am_peak_vehicle,summary_pm_peak_start,summary_pm_peak_vehicle,is_most_recent_for_location
114369,2025-10-18,St Clair Ave W / Deer Park Cres,43.6873152671421,-79.3979758674551,4_leg,"N,E,S,W",,1,1,1,1,15303,6005,391,15303,6005,391,14,2025-10-18T09:15:00,1116,2025-10-18T15:00:00,1379,1
114371,2025-10-18,St Clair Ave E / Ferndale Ave,43.688647539732,-79.3914922984175,4_leg,"N,E,S,W",,1,1,1,1,13667,5375,386,13667,5375,386,14,2025-10-18T09:15:00,981,2025-10-18T15:00:00,1259,1
114370,2025-10-25,St Clair Ave E / Yonge St / St Clair Ave W,43.6880970631256,-79.3940773983772,4_leg,"N,E,S,W",,1,1,1,1,22876,18259,1220,22876,18259,1220,14,2025-10-25T09:15:00,1625,2025-10-25T18:00:00,2170,1
114372,2025-10-18,St Clair Ave W / Old Weston Rd,43.673544275262,-79.463017598086,4_leg,"N,E,S,W",,1,1,1,1,26223,4346,652,26223,4346,652,14,2025-10-18T09:15:00,2001,2025-10-18T15:15:00,2237,0
114432,2025-10-18,St Clair Ave E / Avoca Ave,43.6889924591693,-79.3898869103764,3_leg,"E,S,W",N,0,1,1,1,16803,2748,500,16803,2748,500,14,2025-10-18T09:15:00,1184,2025-10-18T15:00:00,1527,1
114066,2025-09-16,Dufferin St / Dufferin Park Ave,43.6571231262087,-79.4342824411496,4_leg,"N,E,S,W",,1,1,1,1,18189,6173,839,18189,6173,839,14,2025-09-16T08:30:00,1330,2025-09-16T17:00:00,1555,0
114069,2025-09-20,College St / Dufferin St,43.6525691944766,-79.4325621785799,4_leg,"N,E,S,W",,1,1,1,1,22800,6483,1641,22800,6483,1641,14,2025-09-20T09:15:00,1613,2025-09-20T14:45:00,1997,1
114072,2025-09-16,Dufferin St / Gordon St,43.6468335689726,-79.4303658087634,3_leg,"N,S,W",E,1,0,1,1,15214,3099,473,15214,3099,473,14,2025-09-16T08:00:00,1241,2025-09-16T17:00:00,1293,0
114070,2025-09-16,Dufferin St / Dundas St W,43.6496351468501,-79.4314267284597,4_leg,"N,E,S,W",,1,1,1,1,25508,7152,1931,25508,7152,1931,14,2025-09-16T07:45:00,2327,2025-09-16T16:45:00,2208,0
114073,2025-09-20,Dufferin St / Gordon St,43.6468335689726,-79.4303658087634,3_leg,"N,S,W",E,1,0,1,1,13883,2190,438,13883,2190,438,14,2025-09-20T09:15:00,1113,2025-09-20T15:30:00,1195,0
114071,2025-09-20,Dufferin St / Dundas St W,43.6496351468501,-79.4314267284597,4_leg,"N,E,S,W",,1,1,1,1,22425,9694,1875,22425,9694,1875,14,2025-09-20T09:15:00,1660,2025-09-20T15:15:00,1963,0
114074,2025-09-16,Florence St / Dufferin St,43.6459659606282,-79.4300372852408,3_leg,"N,S,W",E,1,0,1,1,15649,2043,1119,15649,2043,1119,14,2025-09-16T08:30:00,1284,2025-09-16T17:00:00,1357,0
114075,2025-09-20,Florence St / Dufferin St,43.6459659606282,-79.4300372852408,3_leg,"N,S,W",E,1,0,1,1,14426,1821,757,14426,1821,757,14,2025-09-20T09:15:00,1151,2025-09-20T15:30:00,1260,1
114076,2025-09-16,Queen St W / Dufferin St,43.6422176567709,-79.4286136839455,4_leg,"N,E,S,W",,1,1,1,1,26623,11270,2430,26623,11270,2430,14,2025-09-16T08:00:00,2290,2025-09-16T17:00:00,2284,0
114078,2025-09-16,King St W / Dufferin St,43.6389604844831,-79.4273748108805,4_leg,"N,E,S,W",,1,1,1,1,23315,10137,2006,23315,10137,2006,14,2025-09-16T08:15:00,1890,2025-09-16T16:45:00,1998,0
114079,2025-09-20,King St W / Dufferin St,43.6389604844831,-79.4273748108805,4_leg,"N,E,S,W",,1,1,1,1,22441,8838,1700,22441,8838,1700,14,2025-09-20T09:15:00,1642,2025-09-20T18:45:00,1919,0
113546,2025-09-30,Poplar Rd / Waldock St,43.7592512312645,-79.1881712305959,3_leg,"N,S,W",E,1,0,1,1,1850,325,39,1850,325,39,14,2025-09-30T08:15:00,209,2025-09-30T15:00:00,202,1
113798,2025-09-30,Vaughan Rd / Alameda Ave,43.6908168786524,-79.4375204134238,3_leg,"N,E,W",S,1,1,0,1,13319,437,190,13319,437,190,14,2025-09-30T07:30:00,1084,2025-09-30T16:30:00,1129,1
113939,2025-09-30,Eglinton Ave E / Don Avon Dr,43.7140925426578,-79.362291981985,4_leg,"N,E,S,W",,1,1,1,1,28322,711,179,28322,711,179,14,2025-09-30T08:00:00,2338,2025-09-30T17:15:00,2559,1
113822,2025-09-30,Lake Shore Blvd W / Brown's Line / Thirty Eighth St,43.5930998249917,-79.5394020613837,4_leg,"N,E,S,W",,1,1,1,1,24170,1261,221,24170,1261,221,14,2025-09-30T08:00:00,1946,2025-09-30T16:30:00,2284,1
114243,2025-09-30,Mill St / Parliament St,43.650197319193,-79.3621413294392,4_leg,"N,E,S,W",,1,1,1,1,11333,13490,1845,11333,13490,1845,14,2025-09-30T08:45:00,895,2025-09-30T14:00:00,920,1
113937,2025-09-30,Eglinton Ave E / Brentcliffe Rd,43.7146129393695,-79.3597950095592,4_leg,"N,E,S,W",,1,1,1,1,40706,3397,215,40706,3397,215,14,2025-09-30T08:00:00,3253,2025-09-30T18:00:00,3703,1
